StudentID,student_name,gender,grade,school_name,reading_score,math_score
86,LeahBenitez,F,10th,HuangHighSchool,93,84
87,ElizabethParker,F,10th,HuangHighSchool,85,56
88,MelissaHunter,F,10th,HuangHighSchool,90,70
89,MissMadisonEverett,F,11th,HuangHighSchool,70,78
90,RonaldGarcia,M,9th,HuangHighSchool,99,86
91,MarkCherry,M,10th,HuangHighSchool,96,98
92,RyanStokes,M,9th,HuangHighSchool,75,72
93,IsaiahMaldonado,M,10th,HuangHighSchool,84,91
94,MichealDennis,M,12th,HuangHighSchool,86,61
95,KevinMartinez,M,11th,HuangHighSchool,89,58
96,JessicaSmith,F,9th,HuangHighSchool,77,72
97,DawnTrujillo,F,11th,HuangHighSchool,82,87
98,VirginiaRamirezMD,F,10th,HuangHighSchool,99,89
99,MarcHernandez,M,10th,HuangHighSchool,87,63
100,JoseGonzalez,M,12th,HuangHighSchool,69,67
101,JasonDennis,M,10th,HuangHighSchool,72,57
102,GaryMorris,M,11th,HuangHighSchool,74,58
103,WilliamMcdonald,M,12th,HuangHighSchool,86,74
104,MichaelSavage,M,9th,HuangHighSchool,75,66
105,AlexisTodd,F,11th,HuangHighSchool,82,95
106,DavidHansen,M,10th,HuangHighSchool,76,86
107,StevenMendez,M,12th,HuangHighSchool,68,88
108,RyanLynch,M,12th,HuangHighSchool,77,67
109,TimothyMarks,M,9th,HuangHighSchool,78,62
110,AlexanderJohns,M,10th,HuangHighSchool,67,77
111,KennethChavez,M,9th,HuangHighSchool,70,79
112,DennisWilliams,M,10th,HuangHighSchool,88,67
113,MichaelRoy,M,12th,HuangHighSchool,85,73
114,RichardRyan,M,12th,HuangHighSchool,88,86
115,MatthewReyes,M,12th,HuangHighSchool,79,60
116,StephanieWard,F,11th,HuangHighSchool,75,69
117,ChristopherTucker,M,10th,HuangHighSchool,80,90
118,DanielJones,M,12th,HuangHighSchool,66,68
119,DevinCraig,M,10th,HuangHighSchool,65,80
120,ErinPrince,F,12th,HuangHighSchool,88,81
121,BernardOrtiz,M,11th,HuangHighSchool,78,76
122,NicoleMiller,F,10th,HuangHighSchool,98,57
123,ChristopherFritz,M,9th,HuangHighSchool,88,77
124,BonnieMckinney,F,11th,HuangHighSchool,63,65
125,TroyNelson,M,11th,HuangHighSchool,79,63
126,JenniferLee,F,12th,HuangHighSchool,93,66
127,RonaldWard,M,10th,HuangHighSchool,74,89
128,NathanielHampton,M,11th,HuangHighSchool,70,81
129,MichaelTravis,M,11th,HuangHighSchool,65,79
130,JamesTaylor,M,9th,HuangHighSchool,77,71
131,ThomasStrickland,M,9th,HuangHighSchool,63,77
132,BrittanyJackson,F,9th,HuangHighSchool,79,57
133,MarisaLowe,F,9th,HuangHighSchool,95,95
134,NicoleThomas,F,9th,HuangHighSchool,83,59
135,MatthewRodriguez,M,12th,HuangHighSchool,80,79
136,KentFernandez,M,12th,HuangHighSchool,66,58
137,MichelleMartin,F,12th,HuangHighSchool,86,92
138,JohnSparks,M,9th,HuangHighSchool,74,91
139,AnnBlake,F,11th,HuangHighSchool,97,75
140,MelissaMiller,F,12th,HuangHighSchool,76,67
141,StevenHouston,M,9th,HuangHighSchool,99,71
142,KristenAnderson,F,11th,HuangHighSchool,78,76
143,CoryJones,M,11th,HuangHighSchool,82,73
144,JenniferMora,F,10th,HuangHighSchool,98,73
145,DennisGriffin,M,9th,HuangHighSchool,78,71
146,DarrylBrown,M,10th,HuangHighSchool,98,90
147,MartinMosley,M,10th,HuangHighSchool,90,67
148,JoyceDiaz,F,10th,HuangHighSchool,85,58
149,JeffreyRose,M,12th,HuangHighSchool,81,91
150,JamieMoreno,F,9th,HuangHighSchool,78,99
151,CatherineWilliams,F,9th,HuangHighSchool,66,56
152,LaurenByrd,F,11th,HuangHighSchool,66,92
153,VanessaFrazier,F,10th,HuangHighSchool,85,82
154,StephenBryant,M,11th,HuangHighSchool,83,77
155,LawrenceLiu,M,12th,HuangHighSchool,82,73
156,JosephLarsen,M,9th,HuangHighSchool,88,82
157,SusanCollier,F,11th,HuangHighSchool,76,92
158,MeaganJensen,F,9th,HuangHighSchool,66,67
159,JulieHarper,F,12th,HuangHighSchool,88,73
160,MeghanCarroll,F,12th,HuangHighSchool,75,98
161,WandaHorton,F,11th,HuangHighSchool,68,88
162,MaryCampbell,F,10th,HuangHighSchool,72,56
163,JenniferRodgers,F,11th,HuangHighSchool,83,98
164,HeatherCooper,F,12th,HuangHighSchool,85,61
165,RyanPerez,M,11th,HuangHighSchool,70,87
166,RyanCox,M,12th,HuangHighSchool,95,72
167,DarrenZavala,M,10th,HuangHighSchool,64,84
168,JosephMoralesIII,M,10th,HuangHighSchool,64,85
169,AaronWest,M,10th,HuangHighSchool,98,67
170,JamesCombs,M,10th,HuangHighSchool,65,82
171,CurtisGarner,M,10th,HuangHighSchool,79,78
172,SarahMiller,F,10th,HuangHighSchool,94,71
173,SamanthaThomas,F,10th,HuangHighSchool,92,62
174,RobertAtkins,M,9th,HuangHighSchool,85,97
175,AlexisCrawford,M,10th,HuangHighSchool,70,82
176,RyanMaddox,M,11th,HuangHighSchool,80,80
177,JonathanMeyer,M,9th,HuangHighSchool,65,79
178,DonnaWagner,F,10th,HuangHighSchool,95,61
179,WilliamKennedy,M,11th,HuangHighSchool,76,56
180,KimberlyMartinez,F,11th,HuangHighSchool,84,83
181,MatthewAnderson,M,11th,HuangHighSchool,92,99
182,KariMiller,F,9th,HuangHighSchool,88,55
183,JennaLuna,F,9th,HuangHighSchool,73,91
184,JustinContreras,M,12th,HuangHighSchool,89,63
185,MaryFox,F,11th,HuangHighSchool,94,92
186,JosephPerkins,M,10th,HuangHighSchool,96,76
187,KellyPhillips,F,12th,HuangHighSchool,78,90
188,JustinThornton,M,11th,HuangHighSchool,65,61
189,JoshuaBarber,M,10th,HuangHighSchool,77,61
190,TravisJackson,M,11th,HuangHighSchool,86,96
191,JordanBeasley,F,10th,HuangHighSchool,96,59
192,KevinAllen,M,12th,HuangHighSchool,68,63
193,VictoriaHarris,F,11th,HuangHighSchool,89,59
194,VictoriaJoseph,F,12th,HuangHighSchool,72,56
195,BrandyMarshall,F,11th,HuangHighSchool,86,60
196,RyanJimenez,M,11th,HuangHighSchool,63,89
197,MichaelChan,M,9th,HuangHighSchool,63,69
198,ChristopherPhillips,M,9th,HuangHighSchool,86,55
199,KevinMurphy,M,10th,HuangHighSchool,85,99
200,VanessaHarper,F,12th,HuangHighSchool,85,85
201,JamesFerguson,M,9th,HuangHighSchool,96,66
202,CarolSchroeder,F,12th,HuangHighSchool,83,61
203,JerryPhillips,M,10th,HuangHighSchool,82,72
204,KristinWade,F,9th,HuangHighSchool,71,56
205,JessicaWarner,F,11th,HuangHighSchool,94,83
206,DorothyBurke,F,11th,HuangHighSchool,91,92
207,BethanyWalter,F,9th,HuangHighSchool,88,76
208,MelissaAvery,F,9th,HuangHighSchool,83,86
209,DanielSutton,M,11th,HuangHighSchool,86,96
210,RyanJohnson,M,9th,HuangHighSchool,63,79
211,TimothyQuinn,M,10th,HuangHighSchool,83,76
212,ZacharyAllen,M,10th,HuangHighSchool,64,87
213,LaurenSchmitt,F,12th,HuangHighSchool,71,61
214,StephanieArmstrong,F,11th,HuangHighSchool,70,66
215,RubenRivera,M,9th,HuangHighSchool,65,79
216,PatriciaPetty,F,12th,HuangHighSchool,79,98
217,JosephJacobs,M,11th,HuangHighSchool,96,68
218,BiancaWilson,F,11th,HuangHighSchool,66,62
219,DonaldPerez,M,9th,HuangHighSchool,87,79
220,CurtisGomez,M,9th,HuangHighSchool,77,77
221,CourtneyBrown,F,9th,HuangHighSchool,90,88
222,NicoleRandall,F,9th,HuangHighSchool,94,78
223,StevenLambert,M,11th,HuangHighSchool,64,56
224,AnthonyAlvarez,M,10th,HuangHighSchool,93,90
225,ShawnFarrell,M,10th,HuangHighSchool,89,87
226,JesusSchmidt,M,9th,HuangHighSchool,80,76
227,LauraWright,F,12th,HuangHighSchool,89,69
228,StevenSmith,M,11th,HuangHighSchool,66,65
229,NormanThompson,M,9th,HuangHighSchool,99,78
230,AnthonyWright,M,10th,HuangHighSchool,76,64
231,KaylaWatts,F,11th,HuangHighSchool,74,89
232,AimeeJohnson,F,9th,HuangHighSchool,97,55
233,HeidiScott,F,12th,HuangHighSchool,77,98
234,AnthonyWilliams,M,10th,HuangHighSchool,78,93
235,SarahHill,F,12th,HuangHighSchool,88,97
236,KimWang,F,9th,HuangHighSchool,90,71
237,BethManning,F,11th,HuangHighSchool,88,92
238,RyanHanson,M,12th,HuangHighSchool,87,83
239,JamesWood,M,9th,HuangHighSchool,70,81
240,CoreyGreene,M,10th,HuangHighSchool,70,94
241,JohnCarter,M,11th,HuangHighSchool,95,83
242,BethGarza,F,11th,HuangHighSchool,75,92
243,KarenJones,F,9th,HuangHighSchool,78,96
244,StephaniePoole,F,10th,HuangHighSchool,95,59
245,LisaBrown,F,9th,HuangHighSchool,99,72
246,PaulScott,M,10th,HuangHighSchool,64,78
247,EvelynBuck,F,10th,HuangHighSchool,68,60
248,TerryHarrell,M,9th,HuangHighSchool,86,69
249,LeahSkinner,F,11th,HuangHighSchool,70,79
250,AnthonyMercado,M,11th,HuangHighSchool,95,97
251,WalterKelly,M,9th,HuangHighSchool,80,78
252,LoriEvans,F,10th,HuangHighSchool,99,66
253,AshleyJones,F,12th,HuangHighSchool,96,72
254,AmberSoto,F,9th,HuangHighSchool,82,60
255,PatrickPhillips,M,10th,HuangHighSchool,64,62
256,LindaCurry,F,11th,HuangHighSchool,74,76
257,AlexanderObrien,M,10th,HuangHighSchool,68,90
258,VincentGarza,M,10th,HuangHighSchool,97,61
259,TerryMarsh,M,11th,HuangHighSchool,99,69
260,AngelaPerkinsDVM,F,11th,HuangHighSchool,76,56
261,PeterHampton,M,9th,HuangHighSchool,83,97
262,DavidCross,M,11th,HuangHighSchool,68,61
263,ClintonOrtega,M,10th,HuangHighSchool,93,62
264,JamieEscobar,F,10th,HuangHighSchool,91,91
265,SandraMason,F,12th,HuangHighSchool,76,83
266,CraigCole,M,12th,HuangHighSchool,83,92
267,LisaWarren,F,12th,HuangHighSchool,70,81
268,MariaHoward,F,9th,HuangHighSchool,74,91
269,MichaelPorter,M,11th,HuangHighSchool,86,68
270,JohnTurner,M,11th,HuangHighSchool,78,99
271,TimothyWang,M,12th,HuangHighSchool,93,75
272,AmandaTaylor,F,9th,HuangHighSchool,73,58
273,KarenMckenzie,F,9th,HuangHighSchool,82,64
274,BrandonMiles,M,11th,HuangHighSchool,98,76
275,ChristinaWhitaker,F,12th,HuangHighSchool,86,89
276,NicolePeterson,F,9th,HuangHighSchool,78,98
277,AshleyMoore,F,9th,HuangHighSchool,67,74
278,ToddCarrillo,M,10th,HuangHighSchool,80,99
279,RobertWilliams,M,10th,HuangHighSchool,63,68
280,AshleyJones,F,9th,HuangHighSchool,92,72
281,VanessaParker,F,9th,HuangHighSchool,67,78
282,RobertCarlson,M,12th,HuangHighSchool,73,82
283,JaredLewis,M,10th,HuangHighSchool,77,56
284,ChristopherHernandez,M,10th,HuangHighSchool,92,64
285,KimberlyHarris,F,9th,HuangHighSchool,66,59
286,KatrinaHill,F,10th,HuangHighSchool,73,73
287,HeatherLee,F,9th,HuangHighSchool,71,69
288,DonaldHarmon,M,11th,HuangHighSchool,63,67
289,ElizabethSanders,F,10th,HuangHighSchool,82,64
290,RichardRamsey,M,12th,HuangHighSchool,80,60
291,CarmenJohnson,F,12th,HuangHighSchool,89,79
292,ElaineOsborne,F,10th,HuangHighSchool,91,69
293,KentBurns,M,9th,HuangHighSchool,81,72
294,MeaganSmith,F,11th,HuangHighSchool,67,87
295,CraigHahn,M,9th,HuangHighSchool,92,73
296,JeremyWu,M,11th,HuangHighSchool,72,81
297,AaronRodriguez,M,11th,HuangHighSchool,75,78
298,MatthewTaylor,M,10th,HuangHighSchool,64,63
299,DianaEvans,F,11th,HuangHighSchool,96,94
300,MichelePearson,F,12th,HuangHighSchool,89,98
301,ErikWagner,M,12th,HuangHighSchool,92,61
302,MariaWelch,F,12th,HuangHighSchool,74,97
303,DebraMartin,F,12th,HuangHighSchool,68,55
304,DevonConner,M,9th,HuangHighSchool,91,89
305,ChristinePatel,F,9th,HuangHighSchool,99,94
306,DavidLopez,M,9th,HuangHighSchool,95,95
307,NathanBaird,M,11th,HuangHighSchool,68,59
308,SamuelCastillo,M,11th,HuangHighSchool,98,57
309,RebeccaPayne,F,11th,HuangHighSchool,77,66
310,CarlJohnson,M,10th,HuangHighSchool,64,95
311,WilliamAdams,M,12th,HuangHighSchool,85,82
312,PaulaHarrison,F,11th,HuangHighSchool,81,91
313,WayneAtkinson,M,11th,HuangHighSchool,86,63
314,LindsayFrank,F,9th,HuangHighSchool,92,66
315,JoseGarcia,M,10th,HuangHighSchool,67,84
316,AndrewGaines,M,12th,HuangHighSchool,68,87
317,RachaelLiu,F,10th,HuangHighSchool,77,79
318,DonaldLewis,M,11th,HuangHighSchool,72,72
319,ShaneEdwards,M,9th,HuangHighSchool,74,59
320,ToddLevy,M,12th,HuangHighSchool,91,94
321,JoannaMoore,F,10th,HuangHighSchool,84,66
322,MichaelLewis,M,9th,HuangHighSchool,98,90
323,JamesRobinson,M,9th,HuangHighSchool,91,60
324,JeffreyArellano,M,9th,HuangHighSchool,89,87
325,HeatherAllenMD,F,11th,HuangHighSchool,96,94
326,LoriVillarreal,F,9th,HuangHighSchool,66,81
327,RobertHarper,M,12th,HuangHighSchool,78,85
328,KarenVillegas,F,9th,HuangHighSchool,76,57
329,TraceyCrane,F,9th,HuangHighSchool,77,97
330,ElizabethAllen,F,9th,HuangHighSchool,73,77
331,JorgeLynn,M,11th,HuangHighSchool,93,66
332,HaroldGordon,M,11th,HuangHighSchool,98,66
333,NicholasMcclain,M,9th,HuangHighSchool,76,90
334,TanyaHarris,F,11th,HuangHighSchool,85,86
335,AmySmith,F,12th,HuangHighSchool,93,93
336,KathyMorse,F,11th,HuangHighSchool,64,91
337,AndreaWood,F,10th,HuangHighSchool,77,70
338,MaureenMassey,F,9th,HuangHighSchool,98,76
339,DanielSmith,M,11th,HuangHighSchool,66,81
340,AlexandraSmith,F,11th,HuangHighSchool,78,77
341,CaitlinHall,F,11th,HuangHighSchool,72,58
342,JoseCarlson,M,11th,HuangHighSchool,90,91
343,DeborahMacias,F,9th,HuangHighSchool,90,87
344,DwayneRice,M,11th,HuangHighSchool,99,78
345,MatthewHarris,M,10th,HuangHighSchool,69,80
346,EricBowman,M,9th,HuangHighSchool,80,94
347,SamuelAli,M,9th,HuangHighSchool,66,91
348,DavidMiller,M,12th,HuangHighSchool,70,92
349,JamesMoreno,M,11th,HuangHighSchool,89,63
350,BrookeAustin,F,11th,HuangHighSchool,78,98
351,AlishaMartin,F,10th,HuangHighSchool,65,68
352,NeilRodriguez,M,10th,HuangHighSchool,98,69
353,GaryWilliams,M,10th,HuangHighSchool,73,56
354,MichaelPittman,M,12th,HuangHighSchool,89,60
355,StephaniePalmer,F,10th,HuangHighSchool,85,91
356,ChristinePerry,F,11th,HuangHighSchool,92,97
357,SuzanneDavid,F,10th,HuangHighSchool,83,62
358,AmberSmith,F,12th,HuangHighSchool,82,75
359,RyanJones,M,9th,HuangHighSchool,94,62
360,EmilyFord,F,9th,HuangHighSchool,79,61
361,KelseyShea,F,12th,HuangHighSchool,85,66
362,KatherineWallace,F,12th,HuangHighSchool,65,56
363,EricaConway,F,11th,HuangHighSchool,79,72
364,TylerParker,M,11th,HuangHighSchool,88,56
365,MichaelParks,M,9th,HuangHighSchool,93,58
366,ElizabethHunt,F,12th,HuangHighSchool,91,58
367,GrantJackson,M,11th,HuangHighSchool,78,61
368,DanielMatthews,M,9th,HuangHighSchool,78,78
369,DianaSilva,F,9th,HuangHighSchool,69,82
370,FrankGarza,M,11th,HuangHighSchool,84,95
371,TerriFischer,F,10th,HuangHighSchool,68,55
372,RobertGoodwin,M,12th,HuangHighSchool,95,92
373,BobbyRuiz,M,10th,HuangHighSchool,65,97
374,StephanieTaylor,F,12th,HuangHighSchool,75,97
375,ErinHill,F,10th,HuangHighSchool,68,98
376,ErinCohen,F,10th,HuangHighSchool,71,74
377,JeffreyMorris,M,9th,HuangHighSchool,84,57
378,ElizabethSimpson,F,10th,HuangHighSchool,97,63
379,JenniferDavis,F,11th,HuangHighSchool,96,68
380,RachelBurton,F,9th,HuangHighSchool,75,75
381,JosephWilkins,M,9th,HuangHighSchool,66,95
382,LawrenceMontgomery,M,11th,HuangHighSchool,87,70
383,PatriciaHoward,F,11th,HuangHighSchool,70,65
384,JessicaHanson,F,11th,HuangHighSchool,84,55
385,DonnaDean,F,10th,HuangHighSchool,98,77
386,EdwinReid,M,9th,HuangHighSchool,69,57
387,JodiBrown,F,12th,HuangHighSchool,70,85
388,ElizabethRichard,F,9th,HuangHighSchool,90,88
389,AaronMartinez,M,9th,HuangHighSchool,85,72
390,StephenFischer,M,9th,HuangHighSchool,81,88
391,DianaReeves,F,11th,HuangHighSchool,86,83
392,JeffreyEaton,M,10th,HuangHighSchool,99,90
393,EvelynMiller,F,9th,HuangHighSchool,65,71
394,ChristopherKidd,M,9th,HuangHighSchool,97,55
395,SarahAdams,F,9th,HuangHighSchool,91,62
396,MelindaNelson,F,12th,HuangHighSchool,75,82
397,KevinBrooks,M,11th,HuangHighSchool,78,72
398,JohnBowen,M,12th,HuangHighSchool,77,56
399,TracieAbbott,F,12th,HuangHighSchool,72,69
400,AllenFoster,M,11th,HuangHighSchool,93,65
401,KathrynElliott,F,12th,HuangHighSchool,63,91
402,ChristopherWalker,M,12th,HuangHighSchool,94,66
403,CynthiaMartin,F,11th,HuangHighSchool,67,59
404,AmandaBennett,F,11th,HuangHighSchool,88,97
405,DennisPadilla,M,11th,HuangHighSchool,92,93
406,AntonioMiller,M,11th,HuangHighSchool,63,63
407,MelissaTrevino,F,11th,HuangHighSchool,71,56
408,AndrewKing,M,10th,HuangHighSchool,99,80
409,JohnMartinez,M,11th,HuangHighSchool,68,76
410,LaurenKing,F,9th,HuangHighSchool,74,82
411,StephanieMercado,F,9th,HuangHighSchool,93,98
412,WilliamSmith,M,11th,HuangHighSchool,69,94
413,JonathanMarshall,M,12th,HuangHighSchool,86,72
414,LukeLoweryMD,M,10th,HuangHighSchool,93,82
415,EmilyReynolds,F,9th,HuangHighSchool,88,99
416,KevinMclean,M,9th,HuangHighSchool,86,80
417,ElizabethTaylor,F,11th,HuangHighSchool,97,84
418,PamelaRivas,F,11th,HuangHighSchool,84,58
419,TammyMartin,F,9th,HuangHighSchool,84,64
420,HollyWatkins,F,9th,HuangHighSchool,81,74
421,PatrickChen,M,9th,HuangHighSchool,67,79
422,MichelleGriffin,F,10th,HuangHighSchool,85,81
423,TheresaAndrews,F,12th,HuangHighSchool,65,58
424,AlanHenry,M,9th,HuangHighSchool,63,81
425,LarryHines,M,10th,HuangHighSchool,91,59
426,TravisFrazier,M,12th,HuangHighSchool,75,68
427,JulieJones,F,12th,HuangHighSchool,74,68
428,NatalieReynolds,F,10th,HuangHighSchool,77,70
429,JessicaCohen,F,10th,HuangHighSchool,69,98
430,JasonRobinson,M,12th,HuangHighSchool,69,95
431,HeatherPalmer,F,9th,HuangHighSchool,78,57
432,EmilyCardenasMD,F,10th,HuangHighSchool,77,87
433,ScottGlover,M,12th,HuangHighSchool,65,92
434,JacquelineWhite,F,12th,HuangHighSchool,68,67
435,MrsElizabethEspinozaDDS,F,9th,HuangHighSchool,76,75
436,ToniPorter,F,11th,HuangHighSchool,92,72
437,JenniferMejia,F,11th,HuangHighSchool,90,59
438,BrendaPeterson,F,10th,HuangHighSchool,75,78
439,PaulHamilton,M,9th,HuangHighSchool,73,72
440,PatriciaNguyen,F,11th,HuangHighSchool,83,56
441,JamesHo,M,12th,HuangHighSchool,86,61
442,ElizabethCohen,F,10th,HuangHighSchool,97,61
443,StephanieLane,F,9th,HuangHighSchool,70,57
444,DawnRhodes,F,12th,HuangHighSchool,67,66
445,TheresaRobinson,F,10th,HuangHighSchool,63,65
446,BreannaMosley,F,9th,HuangHighSchool,85,79
447,CarmenWilson,F,10th,HuangHighSchool,69,92
448,IanBrown,M,9th,HuangHighSchool,77,71
449,KathleenMatthews,F,11th,HuangHighSchool,96,60
450,BryanDiaz,M,11th,HuangHighSchool,64,84
451,GinaSweeney,F,11th,HuangHighSchool,81,59
452,AlanGarcia,M,10th,HuangHighSchool,88,60
453,ErikWheeler,M,10th,HuangHighSchool,94,58
454,StephanieRobles,F,9th,HuangHighSchool,83,95
455,SamanthaHanson,F,9th,HuangHighSchool,83,61
456,ChristopherWilliams,M,11th,HuangHighSchool,89,83
457,StephanieHart,F,12th,HuangHighSchool,94,63
458,MrsLisaBecker,F,11th,HuangHighSchool,84,68
459,BiancaJohnson,F,9th,HuangHighSchool,92,68
460,AmySteele,F,12th,HuangHighSchool,67,63
461,GinaContreras,F,9th,HuangHighSchool,92,92
462,JaimeAlexander,F,10th,HuangHighSchool,93,77
463,KevinColeman,M,12th,HuangHighSchool,88,77
464,CaitlinWilliams,F,10th,HuangHighSchool,98,79
465,JosephLloyd,M,9th,HuangHighSchool,81,89
466,CarrieHernandez,F,11th,HuangHighSchool,86,92
467,MrTravisYoung,M,10th,HuangHighSchool,81,61
468,FrancisWright,M,12th,HuangHighSchool,63,92
469,JoelHarper,M,9th,HuangHighSchool,99,94
470,EduardoPark,M,9th,HuangHighSchool,67,62
471,MelissaYoder,F,10th,HuangHighSchool,95,74
472,DonnaCampbell,F,9th,HuangHighSchool,82,64
473,ConnieDelacruz,F,9th,HuangHighSchool,64,58
474,LuisParker,M,9th,HuangHighSchool,89,95
475,PamelaWatts,F,11th,HuangHighSchool,82,58
476,LindseyMitchell,F,10th,HuangHighSchool,72,89
477,BrendaPrice,F,10th,HuangHighSchool,79,75
478,JosephHoward,M,10th,HuangHighSchool,90,61
479,AmyEvans,F,10th,HuangHighSchool,92,73
480,PaulaFernandezDVM,F,9th,HuangHighSchool,69,96
481,AmberCunningham,F,11th,HuangHighSchool,97,86
482,PrestonWheeler,M,10th,HuangHighSchool,65,56
483,JamesLopez,M,9th,HuangHighSchool,68,89
484,Chadake,M,11th,HuangHighSchool,67,99
485,SamuelBlackburn,M,11th,HuangHighSchool,73,96
486,ShawnNielsen,M,9th,HuangHighSchool,86,81
487,EricPerez,M,10th,HuangHighSchool,83,67
488,KevinMontgomery,M,12th,HuangHighSchool,67,81
489,TerryThomas,M,9th,HuangHighSchool,88,65
490,KimMeyer,F,9th,HuangHighSchool,92,66
491,MichaelTownsend,M,10th,HuangHighSchool,95,78
492,RonnieRodriguez,M,10th,HuangHighSchool,71,79
493,SavannahSmith,F,10th,HuangHighSchool,95,79
494,ShaneNguyen,M,10th,HuangHighSchool,74,65
495,MichaelBrown,M,12th,HuangHighSchool,99,71
496,RobertYoung,M,9th,HuangHighSchool,70,72
497,DanielGriffin,M,9th,HuangHighSchool,74,98
